codigo_rota,peso_real_somado,veiculo,capacidade_max
B_PR_20240227_B-CAR-00046,52596.09606502483,CARRETA,28000.0
B_SC_20240405_B-TRK-00016,27256.67340813051,TRUCK,14000.0
B_RS_20240222_B-TRK-00130,28083.553081648944,TRUCK,14000.0
B_PR_20240425_B-TRK-00006,25493.407753851432,TRUCK,14000.0
B_RS_20240426_B-TRK-00056,26229.05387422124,TRUCK,14000.0
B_RS_20240205_B-CAR-00023,57993.39129166139,CARRETA,28000.0
B_RS_20240422_B-TRK-00018,27206.809288107368,TRUCK,14000.0
B_PR_20240227_B-CAR-00044,59807.75404101982,CARRETA,28000.0
B_PR_20240223_B-TRK-00114,26556.651772720325,TRUCK,14000.0
B_PR_20240217_B-TRK-00080,25563.506084327277,TRUCK,14000.0
B_PR_20240220_B-CAR-00003,57941.46422506986,CARRETA,28000.0
B_SC_20240418_B-TRK-00033,26596.48504421723,TRUCK,14000.0
B_SC_20240223_B-TRK-00028,27092.86078713114,TRUCK,14000.0
B_SC_20240208_B-TRK-00052,28741.386579647908,TRUCK,14000.0
B_SC_20240404_B-CAR-00036,56317.24167145386,CARRETA,28000.0
B_PR_20240416_B-TRK-00091,25518.21976364285,TRUCK,14000.0
B_PR_20240408_B-TRK-00134,25561.332622838578,TRUCK,14000.0
B_RS_20240408_B-CAR-00005,55276.55489809416,CARRETA,28000.0
B_RS_20240418_B-CAR-00052,59423.36445535596,CARRETA,28000.0
B_PR_20240422_B-CAR-00010,54197.54135423413,CARRETA,28000.0
B_SC_20240413_B-TRK-00053,25924.250545097453,TRUCK,14000.0
B_PR_20240205_B-TRK-00057,25826.374874000747,TRUCK,14000.0
B_PR_20240416_B-CAR-00045,58279.32281356683,CARRETA,28000.0
B_SC_20240410_B-CAR-00017,53451.670606329695,CARRETA,28000.0
B_RS_20240403_B-CAR-00055,58708.38858512956,CARRETA,28000.0
B_PR_20240419_B-CAR-00007,53217.08200820066,CARRETA,28000.0
B_PR_20240203_B-TRK-00101,26994.04171162878,TRUCK,14000.0
B_SC_20240424_B-CAR-00028,57684.39443214296,CARRETA,28000.0
B_PR_20240217_B-CAR-00046,59056.51151207943,CARRETA,28000.0
B_PR_20240420_B-TRK-00116,28328.416210387502,TRUCK,14000.0
B_PR_20240417_B-TRK-00107,27382.188372463854,TRUCK,14000.0
B_PR_20240223_B-CAR-00037,56052.379425443374,CARRETA,28000.0
B_RS_20240207_B-TRK-00062,28242.6048941702,TRUCK,14000.0
B_PR_20240214_B-TRK-00135,28488.079535936147,TRUCK,14000.0
B_SC_20240229_B-TRK-00117,25978.270444025005,TRUCK,14000.0
B_RS_20240405_B-CAR-00012,59556.4545781166,CARRETA,28000.0
B_SC_20240222_B-TRK-00000,26672.074387261422,TRUCK,14000.0
B_SC_20240202_B-TRK-00054,27842.918461678822,TRUCK,14000.0
B_SC_20240209_B-TRK-00025,27216.130210278996,TRUCK,14000.0
B_SC_20240402_B-CAR-00036,59239.405159485505,CARRETA,28000.0
B_PR_20240409_B-TRK-00063,26026.58620528412,TRUCK,14000.0
B_PR_20240403_B-CAR-00015,58694.80501332365,CARRETA,28000.0
B_PR_20240418_B-TRK-00130,27234.084185096912,TRUCK,14000.0
B_PR_20240203_B-TRK-00026,26598.903200174555,TRUCK,14000.0
B_PR_20240408_B-CAR-00033,55224.6314357564,CARRETA,28000.0
B_PR_20240429_B-CAR-00031,55422.8482470991,CARRETA,28000.0
B_PR_20240224_B-TRK-00060,27650.085760157646,TRUCK,14000.0
B_SC_20240410_B-TRK-00081,26310.860242870665,TRUCK,14000.0
B_SC_20240408_B-CAR-00027,59081.75589687141,CARRETA,28000.0
B_PR_20240415_B-CAR-00050,59752.97407430648,CARRETA,28000.0
B_RS_20240213_B-CAR-00000,53369.19771105903,CARRETA,28000.0
B_RS_20240401_B-TRK-00043,25265.82633135085,TRUCK,14000.0
B_PR_20240429_B-TRK-00008,27835.968634563873,TRUCK,14000.0
B_PR_20240412_B-TRK-00010,25462.955917669173,TRUCK,14000.0
B_PR_20240419_B-TRK-00068,27306.203268260466,TRUCK,14000.0
B_SC_20240413_B-TRK-00134,26624.03829249227,TRUCK,14000.0
B_PR_20240415_B-CAR-00041,57478.03236705303,CARRETA,28000.0
B_SC_20240202_B-TRK-00063,26151.56679696288,TRUCK,14000.0
B_RS_20240216_B-TRK-00072,28500.996373316575,TRUCK,14000.0
B_SC_20240412_B-TRK-00120,27186.638855786954,TRUCK,14000.0
B_SC_20240420_B-TRK-00036,28779.84680742998,TRUCK,14000.0
B_SC_20240228_B-CAR-00051,57772.08664717701,CARRETA,28000.0
B_RS_20240427_B-CAR-00045,57893.178292489094,CARRETA,28000.0
B_PR_20240430_B-TRK-00075,27114.663941343755,TRUCK,14000.0
B_RS_20240418_B-TRK-00009,26952.6065202288,TRUCK,14000.0
